date,year,week,l2_wastewater,n_regions,mean_barcount
2025-03-23,2025,12,12.388823529411766,17,19.294117647058822
2025-03-30,2025,13,11.96529411764706,17,19.11764705882353
2025-04-06,2025,14,10.3175,16,18.125
2025-04-13,2025,15,13.95375,16,19.0
2025-04-20,2025,16,12.342941176470587,17,18.352941176470587
2025-04-27,2025,17,12.99411764705882,17,22.470588235294116
2025-05-04,2025,18,9.093529411764706,17,22.88235294117647
2025-05-11,2025,19,9.134705882352943,17,22.470588235294116
2025-05-18,2025,20,11.424999999999999,16,18.6875
2025-05-25,2025,21,8.746875,16,18.4375
2025-06-01,2025,22,6.3741176470588226,17,18.235294117647058
2025-06-08,2025,23,7.026666666666666,15,19.0
2025-06-15,2025,24,6.635625,16,17.75
2025-06-22,2025,25,4.6225000000000005,16,17.125
2025-06-29,2025,26,4.272307692307693,13,18.23076923076923
2025-07-06,2025,27,4.614615384615385,13,18.53846153846154
2025-07-13,2025,28,7.485384615384616,13,18.46153846153846
2025-07-20,2025,29,5.534666666666666,15,18.8
2025-07-27,2025,30,3.8200000000000007,15,22.266666666666666
2025-08-03,2025,31,7.334117647058824,17,23.764705882352942
2025-08-10,2025,32,6.789411764705883,17,23.470588235294116
2025-08-17,2025,33,5.3876470588235295,17,23.058823529411764
2025-08-24,2025,34,7.974374999999999,16,24.1875
2025-08-31,2025,35,6.71875,16,22.3125
2025-09-07,2025,36,7.5447058823529405,17,20.941176470588236
2025-09-14,2025,37,6.668125,16,20.5625
2025-09-21,2025,38,8.001875,16,19.0
2025-09-28,2025,39,6.965294117647058,17,19.647058823529413
2025-10-05,2025,40,8.811333333333334,15,19.266666666666666
2025-10-12,2025,41,8.536875,16,18.0
2025-10-19,2025,42,15.576875000000001,16,17.5
2025-10-26,2025,43,19.694000000000003,15,18.266666666666666
2025-11-02,2025,44,32.100624999999994,16,15.25
2025-11-09,2025,45,56.68625,16,14.9375
2025-11-16,2025,46,75.77799999999999,10,16.9
2025-11-23,2025,47,78.17888888888889,9,14.444444444444445
2025-11-30,2025,48,64.41999999999999,8,15.0
2025-12-07,2025,49,71.73444444444443,9,13.555555555555555
2025-12-14,2025,50,71.68384615384615,13,12.76923076923077
2025-12-21,2025,51,68.75083333333333,12,13.416666666666666
2025-12-28,2025,52,60.473636363636366,11,13.363636363636363
2026-01-04,2026,1,38.16266666666666,15,12.8
2026-01-11,2026,2,52.035000000000004,14,13.928571428571429
2026-01-18,2026,3,44.39928571428571,14,14.785714285714286
2026-01-25,2026,4,46.67588235294117,17,15.058823529411764
2026-02-01,2026,5,46.98705882352941,17,16.294117647058822
2026-02-08,2026,6,60.458823529411774,17,17.058823529411764
2026-02-15,2026,7,55.74411764705883,17,18.58823529411765
2026-02-22,2026,8,42.150588235294116,17,17.176470588235293
2026-03-01,2026,9,36.52823529411765,17,18.294117647058822
2026-03-08,2026,10,27.63529411764706,17,19.11764705882353
2026-03-15,2026,11,12.338235294117645,17,20.0
2026-03-22,2026,12,12.051764705882352,17,21.058823529411764
2026-03-29,2026,13,10.574117647058824,17,21.705882352941178
2026-04-05,2026,14,8.198823529411765,17,22.470588235294116
2026-04-12,2026,15,8.621764705882354,17,23.11764705882353
2026-04-19,2026,16,8.103529411764706,17,23.823529411764707
2026-04-26,2026,17,5.304117647058823,17,24.41176470588235
2026-05-03,2026,18,3.8747058823529414,17,24.647058823529413
2026-05-10,2026,19,2.952941176470588,17,24.705882352941178
2026-05-17,2026,20,3.934117647058823,17,24.58823529411765
2026-05-24,2026,21,2.5852941176470585,17,24.470588235294116
2026-05-31,2026,22,2.371176470588235,17,24.176470588235293
2026-06-07,2026,23,2.2,17,24.176470588235293
2026-06-14,2026,24,2.1282352941176472,17,24.0
